,log_price,property_type,room_type,accommodates,bathrooms,bed_type,cancellation_policy,cleaning_fee,city,host_identity_verified,number_of_reviews,review_scores_rating,zipcode,bedrooms,beds
30,4,0,0,2,1,0,flexible,True,1,True,4,100,90027,0,1
31,4,1,1,2,1,0,flexible,True,3,True,6,100,20001,1,1
32,3,0,1,2,1,1,strict,True,0,True,19,87,11226,1,1
33,3,1,1,1,1,0,flexible,True,1,True,5,80,91016,1,1
34,5,0,0,3,1,0,flexible,True,0,True,3,100,10014,1,1
35,4,4,0,6,1,0,strict,True,0,True,22,96,11237,1,6
36,5,0,1,1,1,0,flexible,False,2,True,1,100,94110,1,1
37,4,1,1,4,1,0,strict,True,2,True,31,93,94134,1,2
38,5,0,0,7,2,0,strict,True,1,True,6,84,91501,2,3
39,3,0,1,1,1,1,strict,True,0,True,4,95,11221,1,1
40,4,1,1,3,1,0,strict,True,3,True,1,80,20019,1,1
41,4,1,1,4,1,0,moderate,True,1,True,15,100,90027,1,3
42,4,0,0,2,1,0,strict,True,0,True,2,100,10025,0,1
43,4,4,1,2,1,0,strict,True,0,True,23,89,10013,1,1
44,4,0,1,2,1,0,strict,True,1,True,28,99,91604,1,1
45,3,0,1,2,1,0,moderate,True,0,True,7,94,10039,1,1
46,6,1,0,9,3,0,moderate,True,1,True,32,96,90026,4,4
47,4,0,1,2,1,0,flexible,False,0,True,144,96,10039,1,2
48,5,0,0,9,2,0,strict,True,5,True,10,96,60614,2,5
49,4,0,0,3,1,0,strict,True,2,True,16,94,94110,1,1
50,3,1,1,1,1,0,strict,True,3,True,3,100,20002,1,1
51,4,0,0,2,1,0,strict,True,0,True,38,88,10029.0,1,1
52,4,0,0,2,1,0,flexible,False,0,True,14,89,10025,1,2
53,4,0,1,1,1,0,strict,True,0,True,7,93,11222,1,1
54,5,1,0,4,2,0,flexible,True,2,True,9,100,94114,2,2
55,4,0,1,4,1,0,strict,False,0,True,105,89,11221,1,2
56,5,1,0,10,2,0,strict,True,1,True,59,96,91604,3,4
57,4,0,1,2,1,0,moderate,True,0,True,67,99,11233,1,1
58,4,0,0,3,1,0,moderate,False,3,True,3,93,20007,1,1
59,5,1,0,3,1,0,moderate,True,1,True,10,98,91106,2,2
60,5,1,0,7,1,0,strict,True,1,True,3,100,91208,2,2
61,4,0,1,2,1,0,strict,True,0,True,13,94,10032,1,1
62,3,13,2,4,1,0,strict,True,0,True,1,100,11223,1,4
63,5,0,0,6,1,0,moderate,False,2,True,1,100,94103,1,3
64,3,1,1,3,1,0,strict,True,0,True,18,100,11355,1,2
65,3,1,1,1,1,0,flexible,True,0,True,9,80,11220,1,1
66,5,0,0,4,2,0,strict,True,1,True,23,90,90292,2,4
67,4,0,1,2,1,0,strict,True,0,True,21,86,10024,1,1
68,4,9,1,2,1,0,moderate,False,1,True,120,90,90004,0,1
69,4,0,1,1,1,0,flexible,False,4,True,1,100,02130,1,1
70,3,0,1,2,1,0,flexible,True,0,True,10,98,11206,1,1
71,6,0,0,7,2,0,strict,True,1,True,10,98,90292,3,4
72,6,0,0,4,2,0,strict,True,0,True,3,100,10023,3,3
73,5,0,0,4,1,0,strict,True,0,True,25,94,11221,2,3
74,5,0,0,2,1,0,moderate,True,0,True,2,100,10003.0,1,1
75,4,1,1,4,1,0,flexible,True,4,True,61,99,02132,2,2
76,4,0,0,2,1,0,moderate,True,2,True,87,88,94110,0,1
77,4,2,1,1,1,0,strict,True,0,True,13,95,11211.0,1,1
78,2,1,2,1,1,0,strict,True,0,True,3,100,10473.0,1,1
79,5,2,0,5,1,0,strict,True,0,True,15,97,11249,2,3
80,4,0,1,2,1,0,strict,True,0,True,206,91,10019,1,1
81,5,1,0,6,2,0,moderate,True,1,True,26,100,90028,2,3
82,4,0,0,2,1,0,strict,True,1,True,8,100,90019,0,1
83,3,8,1,5,1,0,moderate,False,5,True,16,100,60639,1,3
84,4,1,0,2,1,0,strict,True,1,True,43,97,91423,1,1
85,4,0,1,2,1,0,strict,True,0,True,73,95,11238.0,1,1
86,4,0,0,2,1,0,moderate,False,0,True,44,94,11217,0,2
87,5,2,0,3,1,0,strict,True,2,True,3,100,94110,1,1
88,4,4,0,4,1,0,strict,True,1,True,104,98,90013,0,2
89,5,0,0,5,1,0,strict,True,0,True,22,95,11232,3,3
90,4,0,0,2,1,0,flexible,False,0,True,16,93,11221,1,1
91,4,0,0,3,1,0,strict,True,1,True,47,92,91106,1,2
92,4,0,1,2,1,0,flexible,True,0,True,1,100,10019,1,1
93,5,2,0,3,1,0,flexible,False,4,True,5,100,02129,2,2
94,3,1,1,2,1,0,moderate,True,1,True,14,99,91803,1,1
95,5,0,0,6,1,0,moderate,True,2,True,186,97,94115.0,2,4
96,5,1,0,5,2,0,strict,True,1,True,3,100,91423,3,3
97,4,0,0,4,1,0,strict,True,0,True,15,87,11207,1,1
98,4,0,0,2,1,0,flexible,True,0,True,2,100,10040,1,1
99,4,0,1,1,1,1,strict,True,0,True,34,94,11213,1,1
100,4,5,1,3,1,0,strict,True,2,True,8,75,94115.0,1,2
101,5,0,0,3,1,0,flexible,True,0,True,11,94,10002,1,2
102,4,1,1,2,1,0,strict,True,1,True,36,96,90004,1,1
103,4,1,0,6,1,0,moderate,False,0,True,2,90,11229,3,3
104,4,0,1,2,1,0,moderate,True,0,True,167,89,11249.0,1,1
105,4,0,1,2,1,0,flexible,True,1,True,12,98,90292,1,1
106,4,0,1,2,1,0,flexible,True,0,True,9,100,11238,1,1
107,5,1,0,6,3,0,strict,True,2,True,48,99,94114,3,3
108,4,1,1,2,1,0,moderate,True,2,True,102,95,94117.0,1,1
109,4,0,1,2,1,0,moderate,True,0,True,2,100,11221,1,1
110,5,1,0,4,1,0,moderate,True,1,True,8,93,90026,2,2
111,5,1,0,4,1,0,moderate,True,3,True,4,100,20007,2,2
112,5,0,0,5,2,0,moderate,True,4,True,3,100,02111,2,3
113,3,0,1,2,2,0,strict,False,1,True,23,93,90046,1,1
114,4,0,1,2,1,0,strict,True,0,True,9,91,10002,1,1
115,4,0,0,2,1,0,strict,True,1,True,51,93,90019,0,2
116,4,0,0,2,1,0,moderate,False,0,True,43,92,11207,0,1
117,4,10,1,2,1,0,flexible,True,2,True,22,96,94103,1,1
118,5,0,0,8,2,0,strict,True,0,True,8,80,10023,1,2
119,3,1,1,1,1,0,flexible,False,1,True,4,90,91331,1,1
120,5,0,1,2,2,0,flexible,True,0,True,1,100,10002.0,1,1
121,5,0,0,2,1,0,flexible,False,0,True,2,100,11211.0,0,1
122,5,1,0,2,1,0,strict,True,1,True,36,99,90265,1,1
123,5,0,0,4,2,0,moderate,True,0,True,28,99,10009.0,2,3
124,5,1,0,10,3,0,strict,True,1,True,3,93,90717,4,5
125,4,0,0,4,1,0,moderate,True,1,True,126,91,90019,1,2
126,3,0,1,1,1,0,strict,False,0,True,81,91,10027,1,1
127,5,0,0,4,2,0,strict,True,1,True,26,98,90292,2,2
128,4,0,1,2,1,0,moderate,True,0,True,5,76,11221,1,1
129,4,1,1,2,1,0,strict,True,1,True,73,98,90068,1,1
130,4,0,1,2,1,0,strict,True,4,True,1,100,02120,1,1
131,5,0,0,4,1,0,strict,True,2,True,72,93,94114,1,2
132,4,1,0,4,1,0,strict,True,1,True,38,94,91604,1,3
133,4,1,1,2,1,0,strict,False,0,True,22,95,10035.0,1,1
134,4,0,0,2,1,1,moderate,False,0,True,44,91,10019,0,1
135,5,0,0,5,1,0,strict,True,1,True,4,100,90015,1,3
136,4,1,1,2,1,0,strict,False,1,True,3,100,91604,1,1
137,3,4,2,1,2,0,strict,False,1,True,40,96,90012,1,1
138,3,0,0,2,1,0,strict,False,4,True,8,93,02135,1,1
139,4,0,0,2,1,0,strict,True,1,True,2,100,90028,0,1
140,7,0,0,4,1,0,strict,False,0,True,9,100,10022,1,2
141,5,1,0,5,2,0,moderate,True,2,True,8,100,94114,3,3
142,4,0,1,2,1,0,strict,True,0,True,17,92,11211.0,1,1
143,4,1,0,4,1,0,strict,True,1,True,12,97,91607,1,2
144,4,0,1,2,1,0,flexible,True,0,True,1,80,11378,1,2
145,4,0,0,4,1,0,strict,True,2,True,5,92,94102.0,1,2
146,4,0,0,3,1,0,moderate,False,0,True,14,97,11249.0,1,1
147,4,0,0,2,1,0,strict,True,1,True,18,98,90018,0,1
148,4,0,0,2,1,0,strict,True,4,True,25,90,02113,0,1
149,4,0,1,4,1,0,moderate,True,0,True,28,89,11692,1,3
150,5,0,0,2,1,0,moderate,True,1,True,3,100,90403,0,1
151,5,4,0,4,1,0,strict,True,1,True,6,100,90014,1,2
152,4,0,0,2,1,0,moderate,True,0,True,17,85,10128,0,1
153,3,0,1,1,1,4,flexible,False,1,True,36,90,90028,1,1
154,4,0,0,4,1,0,flexible,False,0,True,5,90,11230,1,4
155,3,0,1,2,0,0,moderate,True,1,True,15,88,90302,1,1
156,4,0,1,2,1,0,flexible,True,0,True,1,100,10012,1,1
157,4,0,1,2,1,0,strict,True,0,True,16,94,10128,1,1
158,5,0,1,2,1,1,strict,True,1,True,2,90,90212,1,1
159,5,0,0,3,1,0,moderate,True,0,True,23,99,10003.0,1,1
160,5,0,0,5,1,0,moderate,True,2,True,7,100,94110,2,2
161,4,0,1,1,1,0,moderate,True,0,True,1,100,10025,1,1
162,4,1,1,1,1,0,moderate,False,0,True,4,100,11237,1,1
163,4,0,0,2,1,0,moderate,True,0,True,8,100,11206,0,1
164,5,0,0,2,1,0,strict,True,4,True,58,98,02108,1,1
165,4,0,1,2,1,0,flexible,True,0,True,11,94,10029.0,1,1
166,3,0,1,2,1,0,moderate,True,0,True,15,92,11216,1,1
167,4,1,1,2,1,0,moderate,True,1,True,79,98,90292,1,1
168,4,0,0,4,1,0,strict,True,1,True,17,85,90025,1,2
169,4,0,2,7,1,0,strict,True,1,True,2,100,90027,1,2
170,4,0,0,2,1,0,strict,True,0,True,12,93,10023,0,1
171,6,1,0,8,4,0,moderate,True,1,True,12,98,90048,4,4
172,4,8,0,3,1,2,strict,True,1,True,30,95,91411,1,1
173,5,0,0,6,1,0,strict,True,0,True,1,60,10022,2,3
174,5,0,0,3,1,0,moderate,True,0,True,5,100,10011.0,0,1
175,4,6,1,2,1,0,moderate,True,2,True,123,97,94112,1,1
176,5,1,1,2,1,0,strict,True,0,True,63,94,10013,1,1
177,4,0,1,2,1,0,flexible,True,0,True,17,93,11206,1,1
178,3,0,1,2,1,0,flexible,False,1,True,2,90,91325,1,2
179,3,0,2,1,2,0,moderate,False,1,True,4,100,90024,1,1
180,4,0,0,2,1,0,moderate,True,0,True,13,100,10036,0,1
181,3,7,1,2,1,2,moderate,True,3,True,70,95,20018,1,2
182,3,1,1,2,1,0,strict,True,3,True,78,97,20011,1,1
183,4,1,1,2,1,0,strict,True,2,True,7,95,94117,1,1
184,4,1,1,2,1,0,flexible,False,1,True,18,94,90731,1,1
185,3,1,1,1,1,0,strict,True,0,True,8,80,11226,1,1
186,4,3,0,6,1,0,moderate,True,0,True,30,99,10035.0,1,3
187,4,2,1,1,1,0,flexible,True,1,True,1,100,90069,1,1
188,4,0,0,4,1,0,strict,True,3,True,54,98,20001,1,1
189,4,1,1,2,1,0,flexible,True,1,True,27,93,90291,1,1
190,4,0,0,2,1,0,strict,False,2,True,52,95,94102,0,1
191,4,0,1,2,1,0,strict,True,0,True,42,95,11206,1,1
192,4,1,1,2,1,0,flexible,True,0,True,5,100,11221,1,1
193,5,1,0,6,2,0,moderate,True,2,True,17,96,94118,3,4
194,4,0,1,2,1,0,strict,True,0,True,12,90,11355,1,1
195,3,1,1,3,2,0,strict,False,0,True,31,92,11385,1,1
196,4,0,1,3,1,0,strict,True,0,True,27,88,11249.0,1,2
197,3,1,2,4,1,0,flexible,True,0,True,4,100,11216,1,4
198,5,0,0,4,1,0,moderate,True,0,True,30,92,11205,2,3
199,6,0,0,8,2,0,strict,False,0,True,16,86,10010,3,5
200,5,0,0,2,1,0,moderate,True,0,True,1,100,10003.0,1,1
201,5,0,0,4,1,0,strict,True,2,True,5,96,94133,2,4
202,5,2,0,2,1,0,strict,True,4,True,7,100,02109,1,2
203,4,0,0,4,1,0,strict,True,1,True,9,87,90068,0,2
204,4,0,0,6,1,0,strict,True,1,True,26,82,90029,2,4
205,4,0,1,2,1,0,moderate,False,0,True,75,95,11237.0,1,1
206,5,0,0,4,1,0,flexible,False,0,True,8,88,11225.0,1,2
207,5,0,0,6,2,0,moderate,True,3,True,43,100,20001,2,2
208,3,0,1,1,1,0,moderate,True,0,True,3,93,11213.0,1,1
209,5,0,0,6,2,0,moderate,True,1,True,17,98,90024,2,4
210,5,0,0,2,1,0,strict,False,4,True,128,95,02129,1,1
211,4,1,1,1,1,0,moderate,True,0,True,60,93,11206,1,1
212,4,0,0,2,1,0,moderate,True,2,True,90,98,94114,1,1
213,4,0,1,2,1,0,strict,True,0,True,52,96,11216,1,1
214,4,0,0,3,1,0,strict,True,4,True,15,94,02110,1,2
215,4,0,1,2,1,0,moderate,False,0,True,1,100,11105,1,1
216,5,1,0,4,2,0,strict,True,1,True,11,93,90272,3,3
217,5,0,0,6,2,0,strict,False,1,True,22,95,90292,2,3
218,4,4,0,2,1,0,strict,True,0,True,14,97,11206.0,1,1
219,5,4,0,4,2,0,moderate,True,5,True,18,95,60642,2,2
220,4,1,1,3,1,0,moderate,True,2,True,254,95,94107,0,1
221,4,0,1,2,1,0,strict,True,0,True,21,93,11206,1,1
222,5,1,0,10,3,0,moderate,True,1,True,7,97,91741,5,5
223,4,0,1,2,1,0,strict,True,0,True,4,95,10002,1,1
224,4,0,0,2,1,0,moderate,True,0,True,135,93,10027,0,1
225,5,0,0,4,1,0,moderate,True,1,True,29,99,90039,2,2
226,4,8,0,2,1,0,moderate,True,1,True,42,91,90065,0,1
227,4,0,0,2,1,0,moderate,True,1,True,7,91,91604,1,1
228,5,0,0,4,1,0,strict,False,0,True,13,93,10019,2,2
229,4,1,1,2,1,0,moderate,True,3,True,12,93,20011,1,1
230,4,0,1,2,1,0,strict,True,0,True,64,91,10027,1,1
231,4,0,1,1,1,0,moderate,True,0,True,10,90,10034,1,1
232,5,4,0,4,1,0,moderate,True,0,True,44,99,10030,1,2
233,3,1,1,1,2,0,flexible,True,3,True,2,100,20019,1,1
234,5,0,0,8,2,0,strict,True,2,True,54,94,94134,2,4
235,5,0,0,4,2,0,strict,True,0,True,36,98,11216,2,2
236,5,1,0,6,1,0,strict,True,1,True,14,99,90018,2,2
237,4,0,1,2,1,0,strict,True,0,True,6,100,10029.0,1,1
238,4,0,1,1,1,0,strict,True,5,True,18,99,60622,1,1
239,4,2,0,6,2,0,moderate,True,5,True,29,96,60605,2,4
240,5,0,0,2,1,0,moderate,True,0,True,19,96,10016,1,1
241,5,0,0,2,1,0,strict,True,0,True,4,90,10011.0,0,1
242,5,1,0,4,1,0,flexible,True,1,True,6,100,90016,2,2
243,4,0,0,3,1,0,strict,True,0,True,11,94,10475,1,2
244,4,0,1,1,2,0,strict,True,0,True,24,96,11237.0,1,1
245,5,0,0,2,1,0,flexible,True,0,True,43,92,10011.0,1,1
246,4,0,1,2,1,0,flexible,False,3,True,28,96,20010,1,1
247,3,0,1,2,1,3,moderate,True,0,True,1,100,10031,1,1
248,4,0,0,4,1,0,strict,True,0,True,25,89,11231.0,1,2
249,4,0,1,2,1,2,moderate,True,0,True,3,100,10016,1,1
250,5,0,0,3,1,0,flexible,False,0,True,51,93,10014,1,1
251,5,0,0,8,1,0,strict,True,0,True,13,82,11226,2,2
252,4,1,0,4,1,0,strict,True,1,True,30,97,90048,1,2
253,5,0,0,6,2,0,strict,True,0,True,32,99,10016,1,3
254,3,1,2,4,2,0,strict,True,0,True,19,75,11237,1,4
255,4,0,0,2,1,0,strict,True,0,True,7,100,11221,1,1
256,5,2,0,3,1,0,strict,True,0,True,3,80,10017,0,1
257,4,1,1,3,1,0,strict,False,0,True,10,80,11361,1,2
258,3,1,1,4,3,0,strict,True,4,True,5,100,02124,1,2
259,4,0,1,2,2,0,moderate,True,0,True,2,90,11206.0,1,1
260,3,0,1,3,1,0,strict,True,0,True,125,96,11237,1,1
261,5,0,0,2,1,0,strict,True,0,True,129,97,10009.0,0,1
262,5,1,1,2,1,0,moderate,True,2,True,28,98,94133,1,1
263,3,0,1,1,1,0,strict,True,1,True,6,100,90250,0,1
264,4,4,1,4,1,0,strict,True,5,True,14,94,60661,1,1
265,3,6,1,1,1,0,strict,True,0,True,2,100,11233,1,1
266,5,4,0,3,1,0,moderate,True,0,True,3,100,11249.0,1,2
267,6,1,0,5,2,0,strict,True,1,True,43,98,90291,3,3
268,4,0,1,3,1,0,moderate,True,0,True,24,95,10128,1,3
269,4,0,0,2,1,0,strict,True,1,True,74,97,90036,1,1
270,4,3,1,1,2,0,strict,True,1,True,79,100,90046,1,1
271,3,7,1,2,1,0,strict,True,5,True,6,93,60641,1,1
272,4,1,1,5,1,0,strict,True,2,True,318,87,94124,1,2
273,3,1,1,1,1,0,moderate,True,0,True,9,82,11220,1,1
274,4,5,0,2,1,0,flexible,True,1,True,3,100,91604,1,1
275,4,0,0,2,1,0,moderate,True,1,True,33,96,90046,0,1
276,5,0,0,2,1,0,strict,False,4,True,187,85,02116,1,1
277,5,1,0,9,3,0,strict,True,4,True,1,100,02130,4,5
278,4,0,1,2,1,0,flexible,True,0,True,35,92,10025,1,1
279,4,0,0,5,1,0,strict,True,0,True,14,97,10455,3,3
280,5,0,0,2,1,0,strict,True,0,True,3,87,10023,1,1
281,3,1,1,1,1,0,strict,True,1,True,7,93,90505,1,1
282,7,0,0,8,1,0,strict,True,0,True,15,99,10002,3,5
283,5,0,0,2,1,0,strict,True,0,True,8,93,10002,0,1
284,4,0,1,2,1,0,strict,False,4,True,3,87,02135,1,1
285,3,0,1,2,1,0,flexible,True,0,True,14,95,11377,1,1
286,5,0,0,6,1,0,moderate,True,0,True,23,100,11225,2,3
287,5,0,0,2,1,0,moderate,True,0,True,1,100,11217,1,2
288,3,0,0,2,1,0,flexible,True,0,True,1,100,11428,1,1
289,4,0,1,2,1,0,strict,True,1,True,11,98,90012,1,1
290,4,4,1,2,2,0,flexible,True,0,True,5,100,11249,1,1
291,5,0,0,3,1,0,strict,True,2,True,13,95,94115,1,2
292,4,0,1,2,1,0,strict,True,0,True,38,96,10044,1,2
293,5,1,0,8,1,0,strict,True,0,True,26,93,11249.0,3,4
294,4,3,0,4,1,0,strict,False,0,True,10,98,11370.0,2,3
295,4,0,0,2,1,0,strict,True,2,True,15,100,94107,1,2
296,4,0,1,2,1,0,flexible,False,0,True,11,93,11226,1,1
297,4,1,1,1,1,0,moderate,True,1,True,23,96,90405,1,1
298,4,1,1,2,1,0,strict,True,1,True,25,97,90807,1,1
299,4,0,1,2,1,0,moderate,False,0,True,22,96,11231.0,1,1
300,5,0,0,3,1,0,moderate,True,0,True,16,98,10021,0,1
301,5,0,0,6,2,0,strict,True,1,True,31,96,90046,2,2
302,5,0,1,2,1,0,strict,True,0,True,3,100,10013,1,1
303,4,0,1,2,1,0,moderate,True,2,True,28,73,94103,1,2
304,4,0,0,3,1,0,strict,True,5,True,44,90,60610,0,1
305,5,0,0,4,2,0,moderate,True,2,True,85,92,94116,2,2
306,4,0,0,2,1,0,moderate,True,5,True,20,94,60614,0,1
307,5,0,0,4,1,0,strict,True,4,True,13,90,02118,2,2
308,4,0,1,3,2,0,strict,True,0,True,70,94,11220,1,2
309,5,0,0,4,1,0,strict,True,0,True,3,73,10019,2,2
310,4,2,1,2,1,0,moderate,True,2,True,191,97,94110,1,1
311,5,0,0,2,1,0,strict,True,0,True,25,91,10009.0,1,2
312,4,0,1,2,1,0,strict,True,3,True,2,100,20002,1,1
313,3,1,1,2,1,0,strict,True,1,True,39,98,90004,1,1
314,5,0,0,3,1,0,strict,True,0,True,1,80,10014,1,1
315,5,3,0,12,3,0,strict,True,0,True,46,85,10027,4,7
316,4,2,0,5,1,0,super_strict_30,True,5,True,32,96,60625,1,1
317,4,1,0,6,1,0,moderate,True,3,True,40,95,20015,1,2
318,5,1,0,4,1,0,strict,True,1,True,83,96,90291,1,4
319,4,1,1,3,1,0,moderate,True,2,True,46,96,94112,1,2
320,4,0,1,1,1,0,moderate,True,0,True,6,100,10033,1,1
321,4,0,1,2,1,0,moderate,True,0,True,8,89,11211,1,1
322,3,1,1,1,2,0,strict,True,0,True,7,94,11221,1,1
323,5,0,0,4,1,0,moderate,True,0,True,45,87,11238,2,2
324,4,1,1,2,1,0,moderate,True,2,True,21,99,94116,1,1
325,4,0,0,4,1,0,strict,True,0,True,70,89,11222,1,2
326,5,0,0,4,1,0,strict,True,0,True,19,89,10014,2,2
327,4,0,0,2,1,0,strict,False,1,True,19,91,90027,1,1
328,4,0,1,2,1,0,moderate,True,1,True,4,80,91604,1,1
329,4,0,0,3,2,0,moderate,True,1,True,6,97,90048,1,1
330,3,0,1,2,1,0,moderate,True,0,True,35,94,11354,1,2
331,5,2,0,2,1,0,moderate,True,4,True,41,99,02129,1,1
332,4,0,0,2,1,0,strict,True,1,True,9,93,90803,0,1
333,4,1,0,5,1,0,strict,True,0,True,79,92,11233,3,3
334,5,0,0,4,1,0,strict,True,1,True,23,88,90277,1,1
335,4,1,1,4,1,0,strict,True,5,True,43,98,60657,2,2
336,4,0,0,4,1,0,strict,True,0,True,19,94,11103,1,3
337,4,1,0,2,1,0,strict,True,0,True,15,95,11204,1,1
338,4,0,1,2,1,0,moderate,True,1,True,49,99,90277,1,2
339,4,0,0,2,1,0,strict,True,0,True,12,94,10003.0,1,1
340,4,1,1,2,2,0,strict,True,2,True,289,87,94117,1,1
341,4,1,0,2,1,1,moderate,True,1,True,52,100,91001,1,1
342,6,0,0,5,1,0,strict,True,0,True,43,95,10011,2,3
343,4,0,1,2,1,0,strict,True,2,True,54,98,94114,1,1
344,3,0,2,1,1,0,strict,True,1,True,72,93,90025,1,3
345,4,0,1,3,1,0,strict,True,2,True,12,88,94127,1,2
346,3,0,1,2,2,0,flexible,True,1,True,4,100,90814,1,1
347,4,3,0,5,1,0,strict,True,0,True,17,96,11372,2,3
348,4,0,1,2,2,0,flexible,True,0,True,1,100,10038,1,1
349,5,6,0,4,1,0,strict,False,2,True,11,100,94102,1,2
350,5,0,0,3,1,0,strict,True,2,True,190,97,94114,0,2
351,4,0,0,3,1,0,strict,True,0,True,9,98,10011.0,1,2
352,4,1,0,6,1,0,moderate,True,0,True,6,97,11207.0,3,3
353,4,0,0,2,1,1,moderate,True,4,True,14,93,02130,1,1
354,4,0,1,2,1,0,moderate,False,0,True,10,94,10024,1,1
355,4,0,0,3,1,0,moderate,False,3,True,17,94,20009,1,1
356,5,0,1,4,1,0,flexible,True,0,True,25,98,10003.0,1,1
357,5,0,0,2,1,0,moderate,False,4,True,6,93,02108,1,1
358,4,3,1,2,1,0,flexible,True,1,True,41,99,91411,1,1
359,4,1,1,2,1,0,moderate,True,1,True,7,93,90501,1,1
360,4,7,1,1,1,0,strict,False,0,True,61,85,10075,1,1
361,4,1,1,2,1,0,flexible,False,0,True,1,100,11207,1,1
362,4,0,0,3,1,0,strict,True,0,True,28,90,10029.0,1,1
363,5,1,0,8,1,0,strict,True,0,True,2,100,10314.0,4,4
364,4,0,1,3,1,0,flexible,False,0,True,4,80,10466,1,3
365,5,0,0,6,2,0,strict,True,1,True,34,98,90025,3,4
366,4,0,1,2,1,0,strict,True,1,True,62,96,90025,1,1
367,4,0,0,2,1,0,moderate,True,0,True,20,97,11216.0,1,1
368,6,0,0,11,2,0,strict,True,2,True,9,98,94117,2,6
369,3,1,1,1,2,0,flexible,True,1,True,7,94,90005,1,1
370,4,0,1,2,1,0,flexible,True,3,True,8,94,20005,1,1
371,6,0,0,5,2,0,strict,True,2,True,35,99,94115,3,3
372,4,0,1,2,2,0,strict,True,1,True,24,94,90025,1,1
373,5,0,0,2,1,0,moderate,True,0,True,16,80,11211.0,0,1
374,5,1,0,8,2,0,moderate,False,3,True,85,89,20019,3,4
375,4,0,1,2,1,0,strict,True,0,True,2,100,10021,1,1
376,5,0,0,4,1,0,strict,True,0,True,14,88,10039,1,2
377,4,0,1,2,1,0,strict,True,0,True,88,97,10013,1,1
378,4,0,0,4,1,0,flexible,True,0,True,34,97,10027,1,2
379,5,1,0,10,2,0,strict,True,0,True,37,98,11417,5,8
380,4,0,1,2,1,0,moderate,False,0,True,15,99,10027,1,1
381,5,1,0,9,2,0,strict,True,1,True,78,96,90292,2,5
382,3,0,1,2,1,0,moderate,True,0,True,16,95,11237,1,1
383,5,0,0,8,1,0,strict,True,0,True,127,94,10004,4,5
384,4,0,0,4,1,0,moderate,True,3,True,154,96,20002,1,2
385,4,0,0,3,1,0,strict,True,1,True,11,80,90046,1,1
386,6,4,0,12,1,4,strict,True,2,True,118,99,94103,1,1
387,3,1,1,1,1,0,flexible,True,1,True,1,80,91016,1,1
388,5,0,0,4,1,0,strict,True,0,True,3,100,11238,1,2
389,5,4,0,3,1,0,strict,True,2,True,73,99,94114,1,2
390,4,0,1,2,1,0,strict,True,0,True,21,97,11206.0,1,1
391,5,2,0,2,1,0,strict,True,2,True,17,98,94102,1,1
392,4,0,0,2,1,0,flexible,True,0,True,52,91,11211.0,1,1
393,5,0,0,3,1,0,moderate,True,2,True,16,96,94109,1,1
394,5,3,0,4,1,0,moderate,True,0,True,2,100,10003,2,2
395,4,7,1,2,1,0,moderate,True,4,True,216,87,02119,1,2
396,4,0,1,2,1,0,strict,True,0,True,81,93,11216,1,1
397,3,0,1,1,1,0,moderate,True,0,True,7,97,11206,1,1
